adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,unobligated_balance_cpe,tas,tas_with_sub,fiscal_year,period
25,69,X,X,0,0,0,1178,1153,0,25,0,-1737,1142,0,0,0,1178,0,1178,069-0000-0000-X-1142,069-0000-0000-X-1142-000,2017,9
0,69,, ,2017,0,5000,5000,0,0,0,2017,0,1142,0,0,0,5000,0,5000,069-2017-2017- -1142,069-2017-2017- -1142-000,2017,9
123,17,, ,2009,0,0,123,0,0,123,2013,0,1205,0,0,0,123,5,123,017-2009-2013- -1205,017-2009-2013- -1205-005,2017,9
0,17,, ,2010,0,0,443,443,0,0,2014,-982,1205,0,0,0,443,5,443,017-2010-2014- -1205,017-2010-2014- -1205-005,2017,9
0,17,, ,2011,0,0,0,0,0,0,2015,-77,1205,0,0,0,0,5,0,017-2011-2015- -1205,017-2011-2015- -1205-005,2017,9
0,17,, ,2012,0,0,0,0,0,0,2016,0,1205,0,0,0,0,5,0,017-2012-2016- -1205,017-2012-2016- -1205-005,2017,9
6550,69,X,X,0,0,0,119068,51825,0,2461,0,-27387,1301,20550,60693,60693,119068,0,98517,069-0000-0000-X-1301,069-0000-0000-X-1301-000,2017,9
0,69,, ,2011,0,0,2114,2114,0,0,2012,-77,1301,0,0,0,2114,0,2114,069-2011-2012- -1301,069-2011-2012- -1301-000,2017,9
5568,69,, ,2012,0,0,32254,26838,0,5568,2012,2726,1301,501,-151,-151,32254,0,31753,069-2012-2012- -1301,069-2012-2012- -1301-000,2017,9
0,69,, ,2012,0,0,3436,3436,0,0,2013,0,1301,0,0,0,3436,0,3436,069-2012-2013- -1301,069-2012-2013- -1301-000,2017,9
742,69,, ,2013,0,0,12708,11982,0,742,2013,-5286,1301,1001,-16,-16,12708,0,11708,069-2013-2013- -1301,069-2013-2013- -1301-000,2017,9
2101,69,, ,2014,0,0,24728,23778,0,2101,2014,-6564,1301,1627,-1152,-1152,24728,0,23100,069-2014-2014- -1301,069-2014-2014- -1301-000,2017,9
5299,69,, ,2015,0,0,22168,21189,0,5299,2015,-48038,1301,1210,-4319,-4319,22168,0,20958,069-2015-2015- -1301,069-2015-2015- -1301-000,2017,9
47312,69,, ,2016,0,0,52207,9501,0,47312,2016,-1187641,1301,21623,-4606,-4606,52207,0,30584,069-2016-2016- -1301,069-2016-2016- -1301-000,2017,9
0,69,, ,2017,0,852852,10162474,0,0,0,2018,-6124583,1301,7130898,9309622,9309622,10162474,0,3031576,069-2017-2018- -1301,069-2017-2018- -1301-000,2017,9
0,69,X,X,0,0,0,2,2,0,0,0,0,1303,0,0,0,2,0,2,069-0000-0000-X-1303,069-0000-0000-X-1303-000,2017,9
51,69,, ,2012,0,0,488,436,0,51,2012,7,1400,0,0,0,488,0,488,069-2012-2012- -1400,069-2012-2012- -1400-000,2017,9
22,69,, ,2013,0,0,126,104,0,22,2013,0,1400,0,0,0,126,0,126,069-2013-2013- -1400,069-2013-2013- -1400-000,2017,9
0,69,, ,2013,0,0,0,0,0,0,2014,0,1400,0,0,0,0,0,0,069-2013-2014- -1400,069-2013-2014- -1400-000,2017,9
56,69,, ,2014,0,0,251,195,0,56,2014,-14,1400,5,0,0,251,0,246,069-2014-2014- -1400,069-2014-2014- -1400-000,2017,9
28,69,, ,2015,0,0,318,290,0,28,2015,-768,1400,12,0,0,318,0,306,069-2015-2015- -1400,069-2015-2015- -1400-000,2017,9
435,69,, ,2016,0,0,519,79,0,435,2016,-5109,1400,425,5,5,519,0,94,069-2016-2016- -1400,069-2016-2016- -1400-000,2017,9
0,69,, ,2017,0,22500,22750,0,0,0,2017,-10165,1400,13231,250,250,22750,0,9519,069-2017-2017- -1400,069-2017-2017- -1400-000,2017,9
125,69,X,X,0,0,0,1711,561,0,60,0,-142,1401,226,1025,1025,1711,0,1485,069-0000-0000-X-1401,069-0000-0000-X-1401-000,2017,9
0,69,, ,2010,0,0,300,300,0,0,2012,0,1401,0,0,0,300,0,300,069-2010-2012- -1401,069-2010-2012- -1401-000,2017,9
0,69,, ,2011,0,0,553,553,0,0,2013,-6,1401,0,0,0,553,0,553,069-2011-2013- -1401,069-2011-2013- -1401-000,2017,9
92,69,, ,2012,0,0,315,224,0,92,2012,-10,1401,9,0,0,315,0,307,069-2012-2012- -1401,069-2012-2012- -1401-000,2017,9
0,69,, ,2012,0,0,63,63,0,0,2014,17,1401,0,0,0,63,0,63,069-2012-2014- -1401,069-2012-2014- -1401-000,2017,9
77,69,, ,2013,0,0,279,203,0,77,2013,-7,1401,0,0,0,279,0,279,069-2013-2013- -1401,069-2013-2013- -1401-000,2017,9
0,69,, ,2013,0,0,0,0,0,0,2014,0,1401,0,0,0,0,0,0,069-2013-2014- -1401,069-2013-2014- -1401-000,2017,9
0,69,, ,2013,0,0,51,51,0,0,2015,-15,1401,0,0,0,51,0,51,069-2013-2015- -1401,069-2013-2015- -1401-000,2017,9
17,69,, ,2014,0,0,314,297,0,17,2014,-52,1401,0,0,0,314,0,314,069-2014-2014- -1401,069-2014-2014- -1401-000,2017,9
63,69,, ,2014,0,0,67,3,0,63,2016,-703,1401,63,0,0,67,0,3,069-2014-2016- -1401,069-2014-2016- -1401-000,2017,9
142,69,, ,2015,0,0,310,167,0,142,2015,-528,1401,45,0,0,310,0,264,069-2015-2015- -1401,069-2015-2015- -1401-000,2017,9
0,69,, ,2015,0,0,4478,3978,0,0,2017,-1192,1401,2475,500,500,4478,0,2003,069-2015-2017- -1401,069-2015-2017- -1401-000,2017,9
1095,69,, ,2016,0,0,1171,76,0,1095,2016,-9719,1401,1161,0,0,1171,0,9,069-2016-2016- -1401,069-2016-2016- -1401-000,2017,9
0,69,, ,2016,0,0,6310,5810,0,0,2018,-54,1401,98,500,500,6310,0,6212,069-2016-2018- -1401,069-2016-2018- -1401-000,2017,9
0,69,, ,2017,0,49430,51030,0,0,0,2017,-25517,1401,32940,1600,1600,51030,0,18090,069-2017-2017- -1401,069-2017-2017- -1401-000,2017,9
0,69,, ,2017,0,7570,8070,0,0,0,2019,0,1401,0,500,500,8070,0,8070,069-2017-2019- -1401,069-2017-2019- -1401-000,2017,9
20000,69,X,X,0,0,0,372173,42173,0,5541,0,-226083,1710,196831,310000,310000,372173,0,175343,069-0000-0000-X-1710,069-0000-0000-X-1710-000,2017,9
20,69,, ,2013,0,0,183,183,0,20,2013,0,1710,0,-20,-20,183,0,183,069-2013-2013- -1710,069-2013-2013- -1710-000,2017,9
5,69,, ,2014,0,0,3592,3592,0,5,2014,0,1710,0,-5,-5,3592,0,3592,069-2014-2014- -1710,069-2014-2014- -1710-000,2017,9
1367,69,, ,2015,0,0,9571,9571,0,1367,2015,-47,1710,0,-1367,-1367,9571,0,9571,069-2015-2015- -1710,069-2015-2015- -1710-000,2017,9
445,69,, ,2016,0,0,4433,4341,0,445,2016,-6732,1710,0,-354,-354,4433,0,4432,069-2016-2016- -1710,069-2016-2016- -1710-000,2017,9
0,69,, ,2017,0,0,65000,0,0,0,2017,-8934,1710,22721,65000,65000,65000,0,42279,069-2017-2017- -1710,069-2017-2017- -1710-000,2017,9
4889,69,X,X,0,0,300000,313362,8473,0,4889,0,-182213,1711,296482,0,0,313362,0,16880,069-0000-0000-X-1711,069-0000-0000-X-1711-000,2017,9
3208,69,X,X,0,0,0,22454,5581,0,534,0,-8567,1730,9037,13665,13665,22454,0,13417,069-0000-0000-X-1730,069-0000-0000-X-1730-000,2017,9
0,69,, ,2010,0,0,17,17,0,0,2012,0,1730,0,0,0,17,0,17,069-2010-2012- -1730,069-2010-2012- -1730-000,2017,9
