adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,unobligated_balance_cpe,tas,tas_with_sub,fiscal_year,period
0,69,, ,2013,0,0,2,2,0,0,2014,-12118,143,0,0,0,2,17,2,069-2013-2014- -0143,069-2013-2014- -0143-017,2017,9
0,69,, ,2014,0,0,6,6,0,0,2016,-21337,143,0,0,0,6,17,6,069-2014-2016- -0143,069-2014-2016- -0143-017,2017,9
451,69,, ,2015,0,0,25473,25022,0,1,2017,-797,143,25062,0,0,25473,17,411,069-2015-2017- -0143,069-2015-2017- -0143-017,2017,9
54482,69,, ,2016,0,0,54482,0,0,0,2019,0,143,44482,0,0,54482,17,10000,069-2016-2019- -0143,069-2016-2019- -0143-017,2017,9
136,69,, ,2010,0,0,1265,1130,0,136,2012,0,143,0,0,0,1265,0,1265,069-2010-2012- -0143,069-2010-2012- -0143-000,2017,9
0,69,, ,2011,0,0,452,452,0,0,2013,0,143,0,0,0,452,0,452,069-2011-2013- -0143,069-2011-2013- -0143-000,2017,9
46,69,, ,2012,0,0,1556,1510,0,46,2013,0,143,0,0,0,1556,0,1556,069-2012-2013- -0143,069-2012-2013- -0143-000,2017,9
8,69,, ,2013,0,0,836,827,0,8,2014,0,143,0,0,0,836,0,836,069-2013-2014- -0143,069-2013-2014- -0143-000,2017,9
33,69,, ,2014,0,0,400,367,0,33,2016,-292,143,2,0,0,400,0,398,069-2014-2016- -0143,069-2014-2016- -0143-000,2017,9
-2558,69,, ,2015,0,0,8560,11118,0,0,2017,-1542,143,906,0,0,8560,0,7654,069-2015-2017- -0143,069-2015-2017- -0143-000,2017,9
0,69,, ,2016,0,0,0,0,0,0,2018,0,143,0,0,0,0,0,0,069-2016-2018- -0143,069-2016-2018- -0143-000,2017,9
-484500,69,, ,2016,0,0,15500,500000,0,0,2019,0,143,0,0,0,15500,0,15500,069-2016-2019- -0143,069-2016-2019- -0143-000,2017,9
0,69,, ,2017,0,500000,500000,0,0,0,2020,0,143,0,0,0,500000,0,500000,069-2017-2020- -0143,069-2017-2020- -0143-000,2017,9
49,69,X,X,0,0,0,111,62,0,8,0,-470,147,62,0,0,111,0,49,069-0000-0000-X-0147,069-0000-0000-X-0147-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,069-0000-0000-X-0150,069-0000-0000-X-0150-000,2017,9
0,69,, ,2012,0,0,510,510,0,0,2012,0,155,0,0,0,510,0,510,069-2012-2012- -0155,069-2012-2012- -0155-000,2017,9
0,69,, ,2013,0,0,346,346,0,0,2013,-2,155,0,0,0,346,0,346,069-2013-2013- -0155,069-2013-2013- -0155-000,2017,9
0,69,, ,2014,0,0,736,736,0,0,2014,0,155,0,0,0,736,0,736,069-2014-2014- -0155,069-2014-2014- -0155-000,2017,9
2,69,, ,2015,0,0,569,566,0,2,2015,0,155,0,0,0,569,0,569,069-2015-2015- -0155,069-2015-2015- -0155-000,2017,9
0,69,, ,2016,0,0,490,489,0,0,2016,-40,155,0,0,0,490,0,490,069-2016-2016- -0155,069-2016-2016- -0155-000,2017,9
0,69,, ,2017,0,941,941,0,0,0,2017,-145,155,145,0,0,941,0,796,069-2017-2017- -0155,069-2017-2017- -0155-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,069-0000-0000-X-0156,069-0000-0000-X-0156-000,2017,9
5,69,, ,2012,0,0,118,113,0,5,2013,0,159,0,0,0,118,0,118,069-2012-2013- -0159,069-2012-2013- -0159-000,2017,9
10,69,, ,2013,0,0,47,37,0,10,2014,0,159,0,0,0,47,0,47,069-2013-2014- -0159,069-2013-2014- -0159-000,2017,9
1,69,, ,2014,0,0,6,6,0,1,2015,0,159,0,0,0,6,0,6,069-2014-2015- -0159,069-2014-2015- -0159-000,2017,9
0,69,, ,2015,0,0,14,14,0,0,2016,-1103,159,0,0,0,14,0,14,069-2015-2016- -0159,069-2015-2016- -0159-000,2017,9
0,69,, ,2016,0,0,7734,7734,0,0,2017,-2160,159,3236,0,0,7734,0,4498,069-2016-2017- -0159,069-2016-2017- -0159-000,2017,9
0,69,, ,2017,0,15000,15000,0,0,0,2018,0,159,0,0,0,15000,0,15000,069-2017-2018- -0159,069-2017-2018- -0159-000,2017,9
307,69,X,X,0,0,3000,3307,0,0,0,0,0,170,250,0,0,3307,0,3057,069-0000-0000-X-0170,069-0000-0000-X-0170-000,2017,9
0,69,, ,2017,0,290,290,0,0,0,2017,0,170,0,0,0,290,0,290,069-2017-2017- -0170,069-2017-2017- -0170-000,2017,9
-400,309,X,X,0,0,0,3122,3522,0,10,0,-420,200,1052,0,0,3122,5,2070,0309-0000-0000-X-0200,0309-0000-0000-X-0200-005,2017,9
0,309,X,X,0,0,0,0,0,0,0,0,0,200,0,0,0,0,7,0,0309-0000-0000-X-0200,0309-0000-0000-X-0200-007,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,069-0000-0000-X-0301,069-0000-0000-X-0301-000,2017,9
20,69,, ,2012,0,0,238,218,0,20,2012,0,301,0,0,0,238,0,238,069-2012-2012- -0301,069-2012-2012- -0301-000,2017,9
0,69,, ,2013,0,0,52,52,0,0,2013,0,301,0,0,0,52,0,52,069-2013-2013- -0301,069-2013-2013- -0301-000,2017,9
41,69,, ,2014,0,0,400,359,0,41,2014,-110,301,0,0,0,400,0,400,069-2014-2014- -0301,069-2014-2014- -0301-000,2017,9
30,69,, ,2015,0,0,240,210,0,30,2015,-393,301,104,0,0,240,0,137,069-2015-2015- -0301,069-2015-2015- -0301-000,2017,9
0,69,, ,2016,0,0,0,0,0,0,2016,0,301,0,0,0,0,0,0,069-2016-2016- -0301,069-2016-2016- -0301-000,2017,9
0,97,, ,2008,0,0,0,0,0,0,2012,0,391,0,0,0,0,5,0,097-2008-2012- -0391,097-2008-2012- -0391-005,2017,9
231,97,, ,2009,0,0,1537,1306,0,231,2013,0,391,0,0,0,1537,5,1537,097-2009-2013- -0391,097-2009-2013- -0391-005,2017,9
128171,69,X,X,0,0,1485824,1979203,365208,0,128193,0,-368791,500,573232,0,0,1979203,0,1405971,069-0000-0000-X-0500,069-0000-0000-X-0500-000,2017,9
0,97,, ,2011,0,0,0,0,0,0,2015,0,500,0,0,0,0,5,0,097-2011-2015- -0500,097-2011-2015- -0500-005,2017,9
139,97,, ,2012,0,0,199,60,0,139,2016,-8,500,0,0,0,199,5,199,097-2012-2016- -0500,097-2012-2016- -0500-005,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,069-0000-0000-X-0502,069-0000-0000-X-0502-000,2017,9
0,69,X,X,0,0,0,352,352,0,0,0,0,503,0,0,0,352,0,352,069-0000-0000-X-0503,069-0000-0000-X-0503-000,2017,9
0,69,, ,2009,0,0,5213,5213,0,0,2012,0,504,0,0,0,5213,0,5213,069-2009-2012- -0504,069-2009-2012- -0504-000,2017,9
2,69,X,X,0,0,0,5995,5993,0,2,0,-95,505,11,0,0,5995,0,5984,069-0000-0000-X-0505,069-0000-0000-X-0505-000,2017,9
0,69,X,X,0,0,0,82,82,0,0,0,0,506,0,0,0,82,0,82,069-0000-0000-X-0506,069-0000-0000-X-0506-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,069-0000-0000-X-0507,069-0000-0000-X-0507-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,069-0000-0000-X-0511,069-0000-0000-X-0511-000,2017,9
0,97,X,X,0,0,0,5204,5204,0,0,0,-101,512,0,0,0,5204,5,5204,097-0000-0000-X-0512,097-0000-0000-X-0512-005,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,069-0000-0000-X-0516,069-0000-0000-X-0516-000,2017,9
2,97,X,X,0,0,0,7771,7769,0,2,0,-60,516,0,0,0,7771,5,7771,097-0000-0000-X-0516,097-0000-0000-X-0516-005,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,069-0000-0000-X-0518,069-0000-0000-X-0518-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,069-0000-0000-X-0519,069-0000-0000-X-0519-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,069-0000-0000-X-0521,069-0000-0000-X-0521-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,069-0000-0000-X-0524,069-0000-0000-X-0524-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,069-0000-0000-X-0525,069-0000-0000-X-0525-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,069-0000-0000-X-0526,069-0000-0000-X-0526-000,2017,9
0,69,X,X,0,0,0,7,7,0,0,0,0,527,0,0,0,7,0,7,069-0000-0000-X-0527,069-0000-0000-X-0527-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,069-0000-0000-X-0530,069-0000-0000-X-0530-000,2017,9
0,69,X,X,0,0,0,216,216,0,0,0,-216,532,216,0,0,216,0,0,069-0000-0000-X-0532,069-0000-0000-X-0532-000,2017,9
0,69,X,X,0,0,0,275,275,0,0,0,0,533,0,0,0,275,0,275,069-0000-0000-X-0533,069-0000-0000-X-0533-000,2017,9
0,69,, ,2013,0,0,0,0,0,0,2013,0,534,0,0,0,0,0,0,069-2013-2013- -0534,069-2013-2013- -0534-000,2017,9
0,69,, ,2014,0,0,0,0,0,0,2014,0,534,0,0,0,0,0,0,069-2014-2014- -0534,069-2014-2014- -0534-000,2017,9
0,69,, ,2015,0,0,0,0,0,0,2015,0,534,0,0,0,0,0,0,069-2015-2015- -0534,069-2015-2015- -0534-000,2017,9
0,69,, ,2016,0,0,0,0,0,0,2016,0,534,0,0,0,0,0,0,069-2016-2016- -0534,069-2016-2016- -0534-000,2017,9
0,69,X,X,0,0,0,63,63,0,0,0,0,537,0,0,0,63,0,63,069-0000-0000-X-0537,069-0000-0000-X-0537-000,2017,9
11179,69,X,X,0,0,0,112980,101802,0,2616,0,-13853,538,11869,0,0,112980,0,101111,069-0000-0000-X-0538,069-0000-0000-X-0538-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,538,0,0,0,0,7,0,069-0000-0000-X-0538,069-0000-0000-X-0538-007,2017,9
0,69,X,X,0,0,0,489,489,0,0,0,0,540,0,0,0,489,0,489,069-0000-0000-X-0540,069-0000-0000-X-0540-000,2017,9
52,69,X,X,0,0,0,67,15,0,52,0,0,542,0,0,0,67,0,67,069-0000-0000-X-0542,069-0000-0000-X-0542-000,2017,9
1340,69,, ,2010,0,0,21888,20548,0,1340,2012,-2086,548,0,0,0,21888,0,21888,069-2010-2012- -0548,069-2010-2012- -0548-000,2017,9
0,69,X,X,0,0,0,1375,1375,0,0,0,0,549,0,0,0,1375,0,1375,069-0000-0000-X-0549,069-0000-0000-X-0549-000,2017,9
0,69,X,X,0,0,0,318,318,0,0,0,-174,550,318,0,0,318,0,0,069-0000-0000-X-0550,069-0000-0000-X-0550-000,2017,9
0,69,X,X,0,0,0,2130,2130,0,0,0,-84,551,0,0,0,2130,0,2130,069-0000-0000-X-0551,069-0000-0000-X-0551-000,2017,9
0,69,X,X,0,0,0,2037,2037,0,0,0,0,553,0,0,0,2037,0,2037,069-0000-0000-X-0553,069-0000-0000-X-0553-000,2017,9
0,69,X,X,0,0,0,517,517,0,0,0,0,555,0,0,0,517,0,517,069-0000-0000-X-0555,069-0000-0000-X-0555-000,2017,9
0,69,X,X,0,0,0,1,1,0,0,0,0,556,0,0,0,1,0,1,069-0000-0000-X-0556,069-0000-0000-X-0556-000,2017,9
0,69,X,X,0,0,0,2561,2561,0,0,0,-25,557,0,0,0,2561,0,2561,069-0000-0000-X-0557,069-0000-0000-X-0557-000,2017,9
0,69,X,X,0,0,0,5211,5211,0,0,0,0,560,0,0,0,5211,0,5211,069-0000-0000-X-0560,069-0000-0000-X-0560-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,069-0000-0000-X-0561,069-0000-0000-X-0561-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,069-0000-0000-X-0564,069-0000-0000-X-0564-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,069-0000-0000-X-0565,069-0000-0000-X-0565-000,2017,9
0,69,X,X,0,0,0,11,11,0,0,0,0,566,0,0,0,11,0,11,069-0000-0000-X-0566,069-0000-0000-X-0566-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,069-0000-0000-X-0567,069-0000-0000-X-0567-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,069-0000-0000-X-0568,069-0000-0000-X-0568-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,069-0000-0000-X-0569,069-0000-0000-X-0569-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,069-0000-0000-X-0570,069-0000-0000-X-0570-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0,0,069-0000-0000-X-0571,069-0000-0000-X-0571-000,2017,9
0,69,X,X,0,0,0,133,133,0,0,0,0,572,0,0,0,133,0,133,069-0000-0000-X-0572,069-0000-0000-X-0572-000,2017,9
0,69,X,X,0,0,0,21,21,0,0,0,0,573,0,0,0,21,0,21,069-0000-0000-X-0573,069-0000-0000-X-0573-000,2017,9
0,69,X,X,0,0,0,386,386,0,0,0,0,574,0,0,0,386,0,386,069-0000-0000-X-0574,069-0000-0000-X-0574-000,2017,9
0,69,X,X,0,0,0,36,36,0,0,0,0,575,0,0,0,36,0,36,069-0000-0000-X-0575,069-0000-0000-X-0575-000,2017,9
0,69,X,X,0,0,0,511,511,0,0,0,0,580,0,0,0,511,0,511,069-0000-0000-X-0580,069-0000-0000-X-0580-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,069-0000-0000-X-0581,069-0000-0000-X-0581-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,069-0000-0000-X-0582,069-0000-0000-X-0582-000,2017,9
925,69,X,X,0,0,0,3734,2809,0,925,0,-10,583,13,0,0,3734,0,3722,069-0000-0000-X-0583,069-0000-0000-X-0583-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,069-0000-0000-X-0584,069-0000-0000-X-0584-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,069-0000-0000-X-0585,069-0000-0000-X-0585-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,069-0000-0000-X-0586,069-0000-0000-X-0586-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,069-0000-0000-X-0587,069-0000-0000-X-0587-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,069-0000-0000-X-0590,069-0000-0000-X-0590-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,069-0000-0000-X-0592,069-0000-0000-X-0592-000,2017,9
0,69,X,X,0,0,0,7,7,0,0,0,0,593,0,0,0,7,0,7,069-0000-0000-X-0593,069-0000-0000-X-0593-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,0,069-0000-0000-X-0594,069-0000-0000-X-0594-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,069-0000-0000-X-0597,069-0000-0000-X-0597-000,2017,9
0,69,X,X,0,0,0,3226,3226,0,0,0,-1859,598,0,0,0,3226,0,3226,069-0000-0000-X-0598,069-0000-0000-X-0598-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,598,0,0,0,0,11,0,069-0000-0000-X-0598,069-0000-0000-X-0598-011,2017,9
1001,69,X,X,0,0,0,46930,45930,0,1,0,-1020,640,1,0,0,46930,0,46929,069-0000-0000-X-0640,069-0000-0000-X-0640-000,2017,9
225,69,X,X,0,0,0,21593,21369,0,225,0,-1361,641,942,0,0,21593,0,20652,069-0000-0000-X-0641,069-0000-0000-X-0641-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,641,0,0,0,0,7,0,069-0000-0000-X-0641,069-0000-0000-X-0641-007,2017,9
0,69,X,X,0,0,0,497,497,0,0,0,0,641,0,0,0,497,11,497,069-0000-0000-X-0641,069-0000-0000-X-0641-011,2017,9
157,69,X,X,0,0,0,8744,8586,0,157,0,0,644,0,0,0,8744,0,8744,069-0000-0000-X-0644,069-0000-0000-X-0644-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,069-0000-0000-X-0645,069-0000-0000-X-0645-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,069-0000-0000-X-0646,069-0000-0000-X-0646-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,069-0000-0000-X-0648,069-0000-0000-X-0648-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,069-0000-0000-X-0650,069-0000-0000-X-0650-000,2017,9
0,69,, ,2011,0,0,554,554,0,0,2012,0,650,0,0,0,554,0,554,069-2011-2012- -0650,069-2011-2012- -0650-000,2017,9
0,69,, ,2012,0,0,1162,1162,0,0,2012,236,650,0,0,0,1162,0,1162,069-2012-2012- -0650,069-2012-2012- -0650-000,2017,9
0,69,, ,2012,0,0,131,131,0,0,2013,0,650,0,0,0,131,0,131,069-2012-2013- -0650,069-2012-2013- -0650-000,2017,9
1,69,, ,2013,0,0,737,735,0,1,2013,-566,650,0,0,0,737,0,737,069-2013-2013- -0650,069-2013-2013- -0650-000,2017,9
0,69,, ,2013,0,0,185,185,0,0,2014,-53,650,0,0,0,185,0,185,069-2013-2014- -0650,069-2013-2014- -0650-000,2017,9
43,69,, ,2014,0,0,1407,1364,0,43,2014,-912,650,0,0,0,1407,0,1407,069-2014-2014- -0650,069-2014-2014- -0650-000,2017,9
12,69,, ,2014,0,0,176,163,0,12,2015,-1577,650,12,0,0,176,0,164,069-2014-2015- -0650,069-2014-2015- -0650-000,2017,9
71,69,, ,2015,0,0,782,711,0,71,2015,-2488,650,40,0,0,782,0,742,069-2015-2015- -0650,069-2015-2015- -0650-000,2017,9
23,69,, ,2015,0,0,169,145,0,23,2016,-6128,650,0,0,0,169,0,169,069-2015-2016- -0650,069-2015-2016- -0650-000,2017,9
218,69,, ,2016,0,0,816,597,0,218,2016,-29641,650,93,0,0,816,0,723,069-2016-2016- -0650,069-2016-2016- -0650-000,2017,9
5,69,, ,2016,0,0,9149,9144,0,5,2017,-7426,650,3606,0,0,9149,0,5543,069-2016-2017- -0650,069-2016-2017- -0650-000,2017,9
0,69,, ,2017,0,160075,161075,0,0,0,2017,-49968,650,61628,1000,1000,161075,0,99447,069-2017-2017- -0650,069-2017-2017- -0650-000,2017,9
0,69,, ,2017,0,20000,20000,0,0,0,2018,-318,650,1473,0,0,20000,0,18527,069-2017-2018- -0650,069-2017-2018- -0650-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,651,0,0,0,0,5,0,069-0000-0000-X-0651,069-0000-0000-X-0651-005,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,069-0000-0000-X-0651,069-0000-0000-X-0651-000,2017,9
0,69,X,X,0,0,0,20482,20482,0,0,0,0,654,0,0,0,20482,0,20482,069-0000-0000-X-0654,069-0000-0000-X-0654-000,2017,9
0,69,, ,2011,0,0,0,0,0,0,2012,0,660,0,0,0,0,0,0,069-2011-2012- -0660,069-2011-2012- -0660-000,2017,9
0,69,, ,2012,0,0,112250,104430,0,0,2022,0,661,0,7820,7820,112250,0,112250,069-2012-2022- -0661,069-2012-2022- -0661-000,2017,9
2500,69,X,X,0,0,15900,34100,10600,0,742,0,-11221,700,5413,5100,5100,34100,0,28687,069-0000-0000-X-0700,069-0000-0000-X-0700-000,2017,9
775,69,, ,2012,0,0,1976,1201,0,775,2012,292,700,1,0,0,1976,0,1975,069-2012-2012- -0700,069-2012-2012- -0700-000,2017,9
134,69,, ,2013,0,0,1508,1374,0,134,2013,1,700,0,0,0,1508,0,1508,069-2013-2013- -0700,069-2013-2013- -0700-000,2017,9
16,69,, ,2014,0,0,1431,1415,0,16,2014,-3178,700,0,0,0,1431,0,1431,069-2014-2014- -0700,069-2014-2014- -0700-000,2017,9
53,69,, ,2015,0,0,726,672,0,53,2015,-3717,700,2,0,0,726,0,724,069-2015-2015- -0700,069-2015-2015- -0700-000,2017,9
520,69,, ,2016,0,0,1063,543,0,520,2016,-18919,700,170,0,0,1063,0,893,069-2016-2016- -0700,069-2016-2016- -0700-000,2017,9
0,69,, ,2017,0,202198,203198,0,0,0,2017,-112854,700,127476,1000,1000,203198,0,75722,069-2017-2017- -0700,069-2017-2017- -0700-000,2017,9
500,69,X,X,0,0,0,612,112,0,0,0,-1341,701,0,0,0,612,0,612,069-0000-0000-X-0701,069-0000-0000-X-0701-000,2017,9
250,69,X,X,0,0,0,55290,55040,0,0,0,-21,702,8120,0,0,55290,0,47170,069-0000-0000-X-0702,069-0000-0000-X-0702-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,069-0000-0000-X-0703,069-0000-0000-X-0703-000,2017,9
175,69,X,X,0,0,0,31727,31552,0,0,0,-6045,704,0,0,0,31727,0,31727,069-0000-0000-X-0704,069-0000-0000-X-0704-000,2017,9
0,69,X,X,0,0,0,1,1,0,0,0,0,707,0,0,0,1,0,1,069-0000-0000-X-0707,069-0000-0000-X-0707-000,2017,9
0,69,X,X,0,0,0,5,5,0,0,0,0,714,0,0,0,5,0,5,069-0000-0000-X-0714,069-0000-0000-X-0714-000,2017,9
1000,69,X,X,0,0,0,12687,11687,0,0,0,-70,715,81,0,0,12687,0,12606,069-0000-0000-X-0715,069-0000-0000-X-0715-000,2017,9
2239,69,X,X,0,0,0,12442,10204,0,2239,0,-2532,716,0,0,0,12442,0,12442,069-0000-0000-X-0716,069-0000-0000-X-0716-000,2017,9
17307,69,, ,2009,0,0,55245,37938,0,17307,2012,-1811403,718,0,0,0,55245,0,55245,069-2009-2012- -0718,069-2009-2012- -0718-000,2017,9
0,69,, ,2009,0,0,284,284,0,0,2014,0,718,0,0,0,284,0,284,069-2009-2014- -0718,069-2009-2014- -0718-000,2017,9
2000,69,X,X,0,0,0,68467,66467,0,486,0,-104308,719,10789,0,0,68467,0,57678,069-0000-0000-X-0719,069-0000-0000-X-0719-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,722,0,0,0,0,5,0,069-0000-0000-X-0722,069-0000-0000-X-0722-005,2017,9
48,69,X,X,0,0,0,3591,3543,0,48,0,-560,722,0,0,0,3591,0,3591,069-0000-0000-X-0722,069-0000-0000-X-0722-000,2017,9
150,69,X,X,0,0,0,40350,40200,0,0,0,-11675,723,0,0,0,40350,0,40350,069-0000-0000-X-0723,069-0000-0000-X-0723-000,2017,9
0,69,, ,2009,0,0,472,472,0,0,2013,0,724,0,0,0,472,0,472,069-2009-2013- -0724,069-2009-2013- -0724-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,726,0,0,0,0,0,0,069-0000-0000-X-0726,069-0000-0000-X-0726-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,069-0000-0000-X-0730,069-0000-0000-X-0730-000,2017,9
277,69,X,X,0,0,40100,50961,8083,0,870,0,-23283,745,14440,2500,2500,50961,0,36521,069-0000-0000-X-0745,069-0000-0000-X-0745-000,2017,9
0,69,X,X,0,0,0,1960,1960,0,0,0,0,750,797,0,0,1960,0,1163,069-0000-0000-X-0750,069-0000-0000-X-0750-000,2017,9
0,69,, ,2012,0,0,0,0,0,0,2012,0,750,0,0,0,0,0,0,069-2012-2012- -0750,069-2012-2012- -0750-000,2017,9
0,69,, ,2013,0,0,0,0,0,0,2013,0,750,0,0,0,0,0,0,069-2013-2013- -0750,069-2013-2013- -0750-000,2017,9
0,69,, ,2014,0,0,0,0,0,0,2014,0,750,0,0,0,0,0,0,069-2014-2014- -0750,069-2014-2014- -0750-000,2017,9
0,69,, ,2015,0,0,0,0,0,0,2015,0,750,0,0,0,0,0,0,069-2015-2015- -0750,069-2015-2015- -0750-000,2017,9
0,69,, ,2016,0,0,0,0,0,0,2016,0,750,0,0,0,0,0,0,069-2016-2016- -0750,069-2016-2016- -0750-000,2017,9
0,69,X,X,0,0,0,177,177,0,0,0,0,758,0,0,0,177,0,177,069-0000-0000-X-0758,069-0000-0000-X-0758-000,2017,9
-2687,14,X,X,0,0,0,0,2687,0,0,0,0,1039,0,0,0,0,5,0,014-0000-0000-X-1039,014-0000-0000-X-1039-005,2017,9
183,69,, ,2009,0,0,828,645,0,183,2012,0,1101,21,0,0,828,0,807,069-2009-2012- -1101,069-2009-2012- -1101-000,2017,9
225,69,, ,2009,0,0,656,431,0,225,2012,0,1102,0,0,0,656,0,656,069-2009-2012- -1102,069-2009-2012- -1102-000,2017,9
0,12,X,X,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,5,0,012-0000-0000-X-1103,012-0000-0000-X-1103-005,2017,9
0,14,X,X,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,5,0,014-0000-0000-X-1110,014-0000-0000-X-1110-005,2017,9
0,14,X,X,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,5,0,014-0000-0000-X-1116,014-0000-0000-X-1116-005,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,5,0,069-0000-0000-X-1119,069-0000-0000-X-1119-005,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,0,0,069-0000-0000-X-1119,069-0000-0000-X-1119-000,2017,9
-247,69,X,X,0,0,0,165,362,0,20,0,0,1120,0,50,50,165,0,165,069-0000-0000-X-1120,069-0000-0000-X-1120-000,2017,9
104,69,, ,2012,0,0,1136,1032,0,104,2012,164,1120,0,0,0,1136,0,1136,069-2012-2012- -1120,069-2012-2012- -1120-000,2017,9
21,69,, ,2014,0,0,586,565,0,21,2014,-2,1120,2,0,0,586,0,584,069-2014-2014- -1120,069-2014-2014- -1120-000,2017,9
30,69,, ,2015,0,0,655,625,0,30,2015,-539,1120,106,0,0,655,0,549,069-2015-2015- -1120,069-2015-2015- -1120-000,2017,9
307,69,, ,2016,0,0,1124,817,0,307,2016,-8477,1120,446,0,0,1124,0,677,069-2016-2016- -1120,069-2016-2016- -1120-000,2017,9
0,69,, ,2017,0,113165,113415,0,0,0,2017,-69136,1120,76288,250,250,113415,0,37127,069-2017-2017- -1120,069-2017-2017- -1120-000,2017,9
0,69,X,X,0,0,0,32,32,0,0,0,-121,1121,0,0,0,32,0,32,069-0000-0000-X-1121,069-0000-0000-X-1121-000,2017,9
